Display Name,ReferenceId,Latitude,Longitude,Media Owner,Country,State,District,Billboard Type,Category,Venue Type,Impression,Frequency,Reach_x,Venue type,18_24_percentage,25_34_percentage,35_44_percentage,45_54_percentage,55_64_percentage,65_plus_percentage,Unnamed: 8,PV,Freq,Reach_y,Unnamed: 12
PDVilarinho(c)-15,BRA-OOH-D-00000-15805,-19.81705,-43.95282,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1117200,5.78,193287,"Outdoor,Billboards",13.24,16.24,30.36,22.68,10.28,7.2,,1117200,5.78,193287,
EDBHShopping-58,BRA-OOH-D-00000-15796,-19.96587,-43.95402,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1170000,5.84,200342,"Outdoor,Billboards",14.28,16.23,30.55,21.38,10.3,7.26,,1170000,5.84,200342,
EDCMachado(c)-71,BRA-OOH-D-00000-15797,-19.90519,-43.93714,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1059600,5.37,197318,"Outdoor,Billboards",14.17,17.17,31.58,19.27,9.43,8.38,,1059600,5.37,197318,
PD Raja Gabáglia Centro,BRA-OOH-D-00000-15798,-19.94591,-43.95854,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1212000,5.92,204729,"Outdoor,Billboards",13.22,17.27,32.39,19.42,10.28,7.42,,1212000,5.92,204729,
PDAntCarlos(c)-17,BRA-OOH-D-00000-15803,-19.89703,-43.94907,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1225200,5.68,215704,"Outdoor,Billboards",14.39,16.38,29.62,22.17,9.13,8.31,,1225200,5.68,215704,
BDBrasil-44,BRA-OOH-D-00000-15812,-19.92601,-43.92508,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1104000,5.31,207909,"Outdoor,Urban Panels",15.8,17.42,29.7,20.57,9.27,7.24,,1104000,5.31,207909,
BDCuritiba-46,BRA-OOH-D-00000-15821,-19.91891,-43.94134,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",841800,5.83,144391,"Outdoor,Urban Panels",14.38,17.36,29.21,21.35,9.28,8.42,,841800,5.83,144391,
BDViscondeI-3,BRA-OOH-D-00000-15827,-22.98407,-43.20899,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1047000,5.29,197920,"Outdoor,Urban Panels",14.22,16.29,29.66,21.24,10.29,8.3,,1047000,5.29,197920,
BDJacarepagua-11,BRA-OOH-D-00000-15829,-22.94113,-43.34205,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",181200,5.49,33005,"Outdoor,Urban Panels",15.52,16.3,26.91,22.72,10.21,8.34,,181200,5.49,33005,
BDRodolfoDantas-8,BRA-OOH-D-00000-15832,-22.96485,-43.17968,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1523400,6.48,235092,"Outdoor,Urban Panels",15.11,17.43,27.41,21.42,10.41,8.22,,1523400,6.48,235092,
BDJoseLinhares-19,BRA-OOH-D-00000-15839,-22.98064,-43.22223,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1084800,5.64,192340,"Outdoor,Urban Panels",15.25,16.45,29.62,20.12,10.17,8.39,,1084800,5.64,192340,
BDSantaClara-16,BRA-OOH-D-00000-15840,-22.97134,-43.18742,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1305000,5.55,235135,"Outdoor,Urban Panels",15.11,17.15,28.72,22.3,9.35,7.37,,1305000,5.55,235135,
BDCondeBonfim-20,BRA-OOH-D-00000-15841,-22.92798,-43.23634,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1161000,5.85,198461,"Outdoor,Urban Panels",15.37,17.28,27.97,21.76,9.33,8.29,,1161000,5.85,198461,
BDVoluntarios-17,BRA-OOH-D-00000-15842,-22.95483,-43.19559,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1515600,6.48,233888,"Outdoor,Urban Panels",14.27,17.22,31.67,19.46,10.16,7.22,,1515600,6.48,233888,
BDFarani-15,BRA-OOH-D-00000-15843,-22.9395,-43.1806,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1715400,7.58,226306,"Outdoor,Urban Panels",14.56,16.23,30.24,20.31,10.39,8.27,,1715400,7.58,226306,
BDSaoClemente-21,BRA-OOH-D-00000-15844,-22.94954,-43.18362,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1832400,7.42,246954,"Outdoor,Urban Panels",15.43,16.16,31.15,19.55,9.35,8.36,,1832400,7.42,246954,
PDDomPedroI(c)-10,BRA-OOH-D-00000-15847,-30.02003,-51.18605,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1116000,5.43,205524,"Outdoor,Billboards",14.27,16.21,31.69,21.29,9.36,7.18,,1116000,5.43,205524,
PDGoethe-5,BRA-OOH-D-00000-15853,-30.03281,-51.20368,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1429800,6.62,215981,"Outdoor,Billboards",15.42,17.22,29.48,20.4,10.29,7.19,,1429800,6.62,215981,
PDEstevaoCruz-7,BRA-OOH-D-00000-15854,-30.08072,-51.24618,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1426800,6.59,216509,"Outdoor,Billboards",15.48,17.35,29.09,20.5,10.26,7.32,,1426800,6.59,216509,62788.0
BDTimoteoI-19,BRA-OOH-D-00000-15856,-30.0234,-51.19971,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1496400,6.78,220707,"Outdoor,Urban Panels",13.41,16.22,29.96,22.76,10.42,7.23,,1496400,6.78,220707,
BDTimoteoII-18,BRA-OOH-D-00000-15857,-30.02396,-51.19947,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1380600,6.67,206986,"Outdoor,Urban Panels",14.23,17.13,29.92,20.15,10.17,8.4,,1380600,6.67,206986,
BDAssisBrasil-16,BRA-OOH-D-00000-15858,-30.01149,-51.1666,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1332600,6.29,211860,"Outdoor,Urban Panels",13.14,17.35,30.69,21.24,9.14,8.44,,1332600,6.29,211860,
PDAntonioTomas-3,BRA-OOH-D-00000-15869,-3.74103,-38.49708,OOH BRASIL,Brazil,Ceara,Fortaleza,DIGITAL,OUTDOOR,"Outdoor,Billboards",1363200,6.4,213000,"Outdoor,Billboards",14.7,17.26,30.59,20.16,9.13,8.16,,1363200,6.4,213000,
PDAbolicao-5,BRA-OOH-D-00000-15871,-3.726,-38.49786,OOH BRASIL,Brazil,Ceara,Fortaleza,DIGITAL,OUTDOOR,"Outdoor,Billboards",1407000,6.82,206304,"Outdoor,Billboards",14.47,17.28,31.21,19.33,10.32,7.39,,1407000,6.82,206304,
PDEugPacelli(c)-38,BRA-OOH-D-00000-15807,-19.9505,-44.01361,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Billboards",1251600,5.76,217291,"Outdoor,Billboards",13.41,17.37,31.25,19.33,10.21,8.43,,1251600,5.76,217291,
BD Augusto de Lima,BRA-OOH-D-00000-15808,-19.92421,-43.93943,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1045200,5.38,194275,"Outdoor,Urban Panels",15.33,16.32,31.6,19.22,10.13,7.4,,1045200,5.38,194275,
BDPrudenteMorais-100,BRA-OOH-D-00000-15809,-19.93914,-43.94783,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1273800,6.32,201550,"Outdoor,Urban Panels",13.23,16.33,30.6,22.13,10.46,7.25,,1273800,6.32,201550,
BDGetulioVargas-67,BRA-OOH-D-00000-15814,-19.93503,-43.93014,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1236600,6.38,193824,"Outdoor,Urban Panels",14.48,16.17,30.89,20.75,10.32,7.39,,1236600,6.38,193824,
BDAfonsoPena-48,BRA-OOH-D-00000-15823,-19.9211,-43.93716,OOH BRASIL,Brazil,Minas Gerais,Belo Horizonte,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",839400,5.93,141551,"Outdoor,Urban Panels",16.47,17.37,29.34,19.31,9.28,8.23,,839400,5.93,141551,
BDLaranjeiras-12,BRA-OOH-D-00000-15830,-22.93175,-43.18039,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1324800,6.81,194537,"Outdoor,Urban Panels",15.19,16.4,28.19,21.65,10.15,8.42,,1324800,6.81,194537,
BDBarataRibeiro-4,BRA-OOH-D-00000-15833,-22.96767,-43.18446,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1320000,5.42,243542,"Outdoor,Urban Panels",14.53,16.3,30.15,21.31,10.29,7.42,,1320000,5.42,243542,
BDXavierSilveira-7,BRA-OOH-D-00000-15834,-22.97662,-43.19128,OOH BRASIL,Brazil,Rio de Janeiro,Rio de Janeiro,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1380000,5.94,232323,"Outdoor,Urban Panels",16.21,16.17,28.79,22.26,9.35,7.22,,1380000,5.94,232323,
PDBento-1,BRA-OOH-D-00000-15845,-30.06249,-51.17559,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1332600,6.36,209528,"Outdoor,Billboards",15.22,17.42,29.05,21.72,9.45,7.14,,1332600,6.36,209528,
PDCavalhada-9,BRA-OOH-D-00000-15846,-30.10613,-51.22962,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1359000,6.57,206849,"Outdoor,Billboards",13.12,17.37,32.31,19.65,10.16,7.39,,1359000,6.57,206849,
PDDomPedroII(b)-20,BRA-OOH-D-00000-15855,-30.01766,-51.18672,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Billboards",1145400,5.93,193153,"Outdoor,Billboards",13.25,16.26,31.86,20.19,10.28,8.16,,1145400,5.93,193153,
BDMostardeiro-22,BRA-OOH-D-00000-15865,-30.02869,-51.20432,OOH BRASIL,Brazil,Rio Grande do Sul,Porto Alegre,DIGITAL,OUTDOOR,"Outdoor,Urban Panels",1726800,7.84,220255,"Outdoor,Urban Panels",15.28,17.26,31.5,19.42,9.4,7.14,,1726800,7.84,220255,
